,title,conference,year,authors,abstract,pdf_path,pdf_url,code_url,relevant,tran_flag
10,UniHCP: A Unified Model for Human-Centric Perceptions,CVPR,2023,"Yuanzheng Ci, Yizhou Wang, Meilin Chen, Shixiang Tang, Lei Bai, Feng Zhu, Rui Zhao, Fengwei Yu, Donglian Qi, Wanli Ouyang","Human-centric perceptions (e.g., pose estimation, human parsing, pedestrian detection, person re-identification, etc.) play a key role in industrial applications of visual models. While specific human-centric tasks have their own relevant semantic aspect to focus on, they also share the same underlying semantic structure of the human body. However, few works have attempted to exploit such homogeneity and design a general-propose model for human-centric tasks. In this work, we revisit a broad range of human-centric tasks and unify them in a minimalist manner. We propose UniHCP, a Unified Model for Human-Centric Perceptions, which unifies a wide range of human-centric tasks in a simplified end-to-end manner with the plain vision transformer architecture. With large-scale joint training on 33 humancentric datasets, UniHCP can outperform strong baselines on several in-domain and downstream tasks by direct evaluation. When adapted to a specific task, UniHCP achieves new SOTAs on a wide range of human-centric tasks, e.g., 69.8 mIoU on CIHP for human parsing, 86.18 mA on PA-100K for attribute prediction, 90.3 mAP on Market1501 for ReID, and 85.8 JI on CrowdHuman for pedestrian detection, performing better than specialized models tailored for each task. The code and pretrained model are available at https://github.com/OpenGVLab/UniHCP.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Ci_UniHCP_A_Unified_Model_for_Human-Centric_Perceptions_CVPR_2023_paper.pdf,https://github.com/OpenGVLab/UniHCP,3,本文介绍了人类中心感知在视觉模型的工业应用中发挥的关键作用。虽然特定的人类中心任务有其自己的相关语义方面需要关注，但它们也共享人体的相同基础语义结构。然而，很少有研究尝试利用这种同质性并为人类中心任务设计通用模型。本文 重新审视了广泛的人类中心任务，并以简化的端到端方式统一了它们。我们提出了UniHCP，一种统一的人类中心感知模型，它使用简单的视觉变换器架构简化了广泛的人类中心任务。通过在33个人类中心数据集上进行大规模联合训练，UniHCP可以通过直接评估在几个领 域内和下游任务上优于强基线。当适应于特定任务时，UniHCP在广泛的人类中心任务上实现了新的SOTAs，例如，在CIHP上进行人类解析时的69.8 mIoU
11,StyleGene: Crossover and Mutation of Region-Level Facial Genes for Kinship Face Synthesis,CVPR,2023,"Hao Li, Xianxu Hou, Zepeng Huang, Linlin Shen","High-fidelity kinship face synthesis has many potential applications, such as kinship verification, missing child identification, and social media analysis. However, it is challenging to synthesize high-quality descendant faces with genetic relations due to the lack of large-scale, high-quality annotated kinship data. This paper proposes RFG (Region-level Facial Gene) extraction framework to address this issue. We propose to use IGE (Image-based Gene Encoder), LGE (Latent-based Gene Encoder) and Gene Decoder to learn the RFGs of a given face image, and the relationships between RFGs and the latent space of StyleGAN2. As cycle-like losses are designed to measure the L_2 distances between the output of Gene Decoder and image encoder, and that between the output of LGE and IGE, only face images are required to train our framework, i.e. no paired kinship face data is required. Based upon the proposed RFGs, a crossover and mutation module is further designed to inherit the facial parts of parents. A Gene Pool has also been used to introduce the variations into the mutation of RFGs. The diversity of the faces of descendants can thus be significantly increased. Qualitative, quantitative, and subjective experiments on FIW, TSKinFace, and FF-Databases clearly show that the quality and diversity of kinship faces generated by our approach are much better than the existing state-of-the-art methods.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_StyleGene_Crossover_and_Mutation_of_Region-Level_Facial_Genes_for_Kinship_CVPR_2023_paper.pdf,,3,本文提出了一种名为RFG（区域级面部基因）提取框架的方法，以解决合成高质量后代面孔的挑战。该方法使用基于图像和基于潜在空间的基因编码器以及基因解码器来学习给定面部图像的RFG，并将RFG与StyleGAN2的潜在空间之间的关系进行了研究 。通过设计类似于循环的损失来衡量基因解码器和图像编码器之间的输出以及LGE和IGE之间的输出之间的L_2距离，我们的框架只需要面部图像进行训练，即不需要成对的亲缘面孔数据。基于所提出的RFG，还进一步设计了交叉和突变模块来继承父母的面部部分，并使用 基因池来引入变异的变化。在FIW、TSKinFace和FF数据库上进行的定性、定量和主观实验清楚地表明，我们的方法生成的亲
12,PHA: Patch-Wise High-Frequency Augmentation for Transformer-Based Person Re-Identification,CVPR,2023,"Guiwei Zhang, Yongfei Zhang, Tianyu Zhang, Bo Li, Shiliang Pu","Although recent studies empirically show that injecting Convolutional Neural Networks (CNNs) into Vision Transformers (ViTs) can improve the performance of person re-identification, the rationale behind it remains elusive. From a frequency perspective, we reveal that ViTs perform worse than CNNs in preserving key high-frequency components (e.g, clothes texture details) since high-frequency components are inevitably diluted by low-frequency ones due to the intrinsic Self-Attention within ViTs. To remedy such inadequacy of the ViT, we propose a Patch-wise High-frequency Augmentation (PHA) method with two core designs. First, to enhance the feature representation ability of high-frequency components, we split patches with high-frequency components by the Discrete Haar Wavelet Transform, then empower the ViT to take the split patches as auxiliary input. Second, to prevent high-frequency components from being diluted by low-frequency ones when taking the entire sequence as input during network optimization, we propose a novel patch-wise contrastive loss. From the view of gradient optimization, it acts as an implicit augmentation to improve the representation ability of key high-frequency components. This benefits the ViT to capture key high-frequency components to extract discriminative person representations. PHA is necessary during training and can be removed during inference, without bringing extra complexity. Extensive experiments on widely-used ReID datasets validate the effectiveness of our method.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhang_PHA_Patch-Wise_High-Frequency_Augmentation_for_Transformer-Based_Person_Re-Identification_CVPR_2023_paper.pdf,,3,最近的研究表明，将卷积神经网络（CNN）注入视觉变换器（ViT）可以提高人员再识别的性能，但其背后的原理仍然不清楚。从频率的角度来看，我们发现ViT在保留关键高频组件（例如服装纹理细节）方面比CNN表现更差，因为由于ViT内在的自我关注，高频组件不可避免地被低频组件稀释。为了解决ViT的这种不足，我们提出了一种基于补丁的高频增强（PHA）方法，具有两个核心设计。首先，为了增强高频组件的特征表示能力，我们通过离散哈尔小波变换将高频组件的补丁分割，然后使ViT将分割的补丁作为辅助输入。其次，在网络优化期间将整个序列作为输入时，为了防止高频组件被低频组件稀释，我们提出
13,Beyond Appearance: A Semantic Controllable Self-Supervised Learning Framework for Human-Centric Visual Tasks,CVPR,2023,"Weihua Chen, Xianzhe Xu, Jian Jia, Hao Luo, Yaohua Wang, Fan Wang, Rong Jin, Xiuyu Sun","Human-centric visual tasks have attracted increasing research attention due to their widespread applications. In this paper, we aim to learn a general human representation from massive unlabeled human images which can benefit downstream human-centric tasks to the maximum extent. We call this method SOLIDER, a Semantic cOntrollable seLf-supervIseD lEaRning framework. Unlike the existing self-supervised learning methods, prior knowledge from human images is utilized in SOLIDER to build pseudo semantic labels and import more semantic information into the learned representation. Meanwhile, we note that different downstream tasks always require different ratios of semantic information and appearance information. For example, human parsing requires more semantic information, while person re-identification needs more appearance information for identification purpose. So a single learned representation cannot fit for all requirements. To solve this problem, SOLIDER introduces a conditional network with a semantic controller. After the model is trained, users can send values to the controller to produce representations with different ratios of semantic information, which can fit different needs of downstream tasks. Finally, SOLIDER is verified on six downstream human-centric visual tasks. It outperforms state of the arts and builds new baselines for these tasks. The code is released in https://github.com/tinyvision/SOLIDER.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Chen_Beyond_Appearance_A_Semantic_Controllable_Self-Supervised_Learning_Framework_for_Human-Centric_CVPR_2023_paper.pdf,https://github.com/tinyvision/SOLIDER,3,本文旨在从大量未标记的人类图像中学习一种通用的人类表示方法，以最大程度地受益于下游的以人为中心的任务。我们称之为 SOLIDER，即语义可控的自我监督学习框架。与现有的自我监督学习方法不同，SOLIDER 利用人类图像的先验知识构建伪 语义标签，并将更多的语义信息导入到学习到的表示中。同时，我们注意到不同的下游任务总是需要不同比例的语义信息和外观信息。例如，人体分割需要更多的语义信息，而人员重新识别需要更多的外观信息以进行识别。因此，单一的学习表示不能适用于所有要求。 为了解决这个问题，SOLIDER 引入了一个带有语义控制器的条件网络。在模型训练完成后，用户可以向控制器发送值，以产生具有不同比例的语义信息的表示，以适应下游任务的不同需求。
14,Similarity Metric Learning for RGB-Infrared Group Re-Identification,CVPR,2023,"Jianghao Xiong, Jianhuang Lai","Group re-identification (G-ReID) aims to re-identify a group of people that is observed from non-overlapping camera systems. The existing literature has mainly addressed RGB-based problems, but RGB-infrared (RGB-IR) cross-modality matching problem has not been studied yet. In this paper, we propose a metric learning method Closest Permutation Matching (CPM) for RGB-IR G-ReID. We model each group as a set of single-person features which are extracted by MPANet, then we propose the metric Closest Permutation Distance (CPD) to measure the similarity between two sets of features. CPD is invariant with order changes of group members so that it solves the layout change problem in G-ReID. Furthermore, we introduce the problem of G-ReID without person labels. In the weak-supervised case, we design the Relation-aware Module (RAM) that exploits visual context and relations among group members to produce a modality-invariant order of features in each group, with which group member features within a set can be sorted to form a robust group representation against modality change. To support the study on RGB-IR G-ReID, we construct a new large-scale RGB-IR G-ReID dataset CM-Group. The dataset contains 15,440 RGB images and 15,506 infrared images of 427 groups and 1,013 identities. Extensive experiments on the new dataset demonstrate the effectiveness of the proposed models and the complexity of CM-Group. The code and dataset are available at: https://github.com/WhollyOat/CM-Group.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Xiong_Similarity_Metric_Learning_for_RGB-Infrared_Group_Re-Identification_CVPR_2023_paper.pdf,https://github.com/WhollyOat/CM-Group,3,本文提出了一种度量学习方法 Closest Permutation Matching (CPM) 用于 RGB-IR G-ReID，解决了 RGB-IR 跨模态匹配问题。作者将每个群体建模为一组由 MPANet 提取的单人特征，并提出了 Closest Permutation Distance (CPD) 度量来衡量两 组特征之间的相似性。CPD 不受群体成员顺序变化的影响，从而解决了 G-ReID 中的布局变化问题。此外，作者还介绍了无人员标签的 G-ReID 问题。在弱监督情况下，作者设计了 Relation-aware Module (RAM) 来利用视觉上下文和群体成员之间的关系，产生每个群体中特征的模态不变顺序，从而可以对一组内的群体成员特征进行排序，形成针对模态变化的强大群体表示。为了支持 RGB-IR G-ReID 的研究，作者构建了一个新的大规模 RGB-IR G-ReID 数据集 CM-Group
15,CRAFT: Concept Recursive Activation FacTorization for Explainability,CVPR,2023,"Thomas Fel, Agustin Picard, Louis B茅thune, Thibaut Boissin, David Vigouroux, Julien Colin, R茅mi Cad猫ne, Thomas Serre","Attribution methods are a popular class of explainability methods that use heatmaps to depict the most important areas of an image that drive a model decision. Nevertheless, recent work has shown that these methods have limited utility in practice, presumably because they only highlight the most salient parts of an image (i.e., ""where"" the model looked) and do not communicate any information about ""what"" the model saw at those locations. In this work, we try to fill in this gap with Craft -- a novel approach to identify both ""what"" and ""where"" by generating concept-based explanations. We introduce 3 new ingredients to the automatic concept extraction literature: (i) a recursive strategy to detect and decompose concepts across layers, (ii) a novel method for a more faithful estimation of concept importance using Sobol indices, and (iii) the use of implicit differentiation to unlock Concept Attribution Maps. We conduct both human and computer vision experiments to demonstrate the benefits of the proposed approach. We show that our recursive decomposition generates meaningful and accurate concepts and that the proposed concept importance estimation technique is more faithful to the model than previous methods. When evaluating the usefulness of the method for human experimenters on the utility benchmark, we find that our approach significantly improves on two of the three test scenarios (while none of the current methods including ours help on the third). Overall, our study suggests that, while much work remains toward the development of general explainability methods that are useful in practical scenarios, the identification of meaningful concepts at the proper level of granularity yields useful and complementary information beyond that afforded by attribution methods.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Fel_CRAFT_Concept_Recursive_Activation_FacTorization_for_Explainability_CVPR_2023_paper.pdf,,3,本文介绍了一种名为Craft的新方法，用于生成基于概念的解释，以填补现有的解释方法的局限性。传统的解释方法只能突出图像中最显著的部分，而无法传达模型在这些位置看到的内容。Craft通过生成概念来识别“何时”和“何地”，并引入了三 个新的自动概念提取技术：（i）递归策略来检测和分解概念，（ii）使用Sobol指数更准确地估计概念重要性的新方法，以及（iii）使用隐式微分来解锁概念归因图。作者进行了人类和计算机视觉实验，证明了该方法的优点。研究表明，识别适当粒度的有意义的概念可以提供有用的补充信息，超越了传统的归因方法。
16,Good Is Bad: Causality Inspired Cloth-Debiasing for Cloth-Changing Person Re-Identification,CVPR,2023,"Zhengwei Yang, Meng Lin, Xian Zhong, Yu Wu, Zheng Wang","Entangled representation of clothing and identity (ID)-intrinsic clues are potentially concomitant in conventional person Re-IDentification (ReID). Nevertheless, eliminating the negative impact of clothing on ID remains challenging due to the lack of theory and the difficulty of isolating the exact implications. In this paper, a causality-based Auto-Intervention Model, referred to as AIM, is first proposed to mitigate clothing bias for robust cloth-changing person ReID (CC-ReID). Specifically, we analyze the effect of clothing on the model inference and adopt a dual-branch model to simulate causal intervention. Progressively, clothing bias is eliminated automatically with model training. AIM is encouraged to learn more discriminative ID clues that are free from clothing bias. Extensive experiments on two standard CC-ReID datasets demonstrate the superiority of the proposed AIM over other state-of-the-art methods.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Yang_Good_Is_Bad_Causality_Inspired_Cloth-Debiasing_for_Cloth-Changing_Person_Re-Identification_CVPR_2023_paper.pdf,,3,本文提出了一种基于因果关系的自动干预模型AIM，旨在消除传统人物再识别中服装对身份识别的负面影响。通过分析服装对模型推断的影响，采用双分支模型模拟因果干预，逐步消除服装偏差。AIM能够学习更具有辨别力的身份线索，不受服装偏差 的影响。在两个标准的服装变换人物再识别数据集上进行了广泛的实验，证明了AIM相对于其他最先进的方法的优越性。
17,Cross-GAN Auditing: Unsupervised Identification of Attribute Level Similarities and Differences Between Pretrained Generative Models,CVPR,2023,"Matthew L. Olson, Shusen Liu, Rushil Anirudh, Jayaraman J. Thiagarajan, Peer-Timo Bremer, Weng-Keen Wong","Generative Adversarial Networks (GANs) are notoriously difficult to train especially for complex distributions and with limited data. This has driven the need for interpretable tools to audit trained networks, for example, to identify biases or ensure fairness. Existing GAN audit tools are restricted to coarse-grained, model-data comparisons based on summary statistics such as FID or recall. In this paper, we propose an alternative approach that compares a newly developed GAN against a prior baseline. To this end, we introduce Cross-GAN Auditing (xGA) that, given an established ""reference"" GAN and a newly proposed ""client"" GAN, jointly identifies semantic attributes that are either common across both GANs, novel to the client GAN, or missing from the client GAN. This provides both users and model developers an intuitive assessment of similarity and differences between GANs. We introduce novel metrics to evaluate attribute-based GAN auditing approaches and use these metrics to demonstrate quantitatively that xGA outperforms baseline approaches. We also include qualitative results that illustrate the common, novel and missing attributes identified by xGA from GANs trained on a variety of image datasets.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Olson_Cross-GAN_Auditing_Unsupervised_Identification_of_Attribute_Level_Similarities_and_Differences_CVPR_2023_paper.pdf,,3,本文介绍了一种新的生成对抗网络（GAN）审计方法，名为Cross-GAN Auditing（xGA）。与现有的基于摘要统计量的粗略模型-数据比较方法不同，xGA将新开发的GAN与基准GAN进行比较，共同识别在两个GAN之间共同的语义属性、客户端GAN中新颖的 语义属性以及客户端GAN中缺失的语义属性。这种方法为用户和模型开发人员提供了直观的GAN相似性和差异性评估。本文还引入了新的指标来评估基于属性的GAN审计方法，并使用这些指标定量地证明xGA优于基准方法。同时，本文还包括了定性结果，展示了xGA从各种图像数据集训练的GAN中识别出的共同、新颖和缺失的属性。
18,TOPLight: Lightweight Neural Networks With Task-Oriented Pretraining for Visible-Infrared Recognition,CVPR,2023,"Hao Yu, Xu Cheng, Wei Peng","Visible-infrared recognition (VI recognition) is a challenging task due to the enormous visual difference across heterogeneous images. Most existing works achieve promising results by transfer learning, such as pretraining on the ImageNet, based on advanced neural architectures like ResNet and ViT. However, such methods ignore the negative influence of the pretrained colour prior knowledge, as well as their heavy computational burden makes them hard to deploy in actual scenarios with limited resources. In this paper, we propose a novel task-oriented pretrained lightweight neural network (TOPLight) for VI recognition. Specifically, the TOPLight method simulates the domain conflict and sample variations with the proposed fake domain loss in the pretraining stage, which guides the network to learn how to handle those difficulties, such that a more general modality-shared feature representation is learned for the heterogeneous images. Moreover, an effective fine-grained dependency reconstruction module (FDR) is developed to discover substantial pattern dependencies shared in two modalities. Extensive experiments on VI person re-identification and VI face recognition datasets demonstrate the superiority of the proposed TOPLight, which significantly outperforms the current state of the arts while demanding fewer computational resources.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Yu_TOPLight_Lightweight_Neural_Networks_With_Task-Oriented_Pretraining_for_Visible-Infrared_Recognition_CVPR_2023_paper.pdf,,3,本文提出了一种新的面向任务的预训练轻量级神经网络（TOPLight）用于可见光红外识别（VI recognition）。TOPLight方法在预训练阶段使用虚假域损失来模拟领域冲突和样本变化，引导网络学习如何处理这些困难，从而学习到更通用的模态共享 特征表示。此外，还开发了一种有效的细粒度依赖重构模块（FDR），用于发现两种模态中共享的重要模式依赖关系。在可见光人员再识别和可见光人脸识别数据集上进行了广泛的实验，结果表明，所提出的TOPLight方法明显优于当前的艺术水平，同时需要更少的计算资源。
19,Deep Semi-Supervised Metric Learning With Mixed Label Propagation,CVPR,2023,"Furen Zhuang, Pierre Moulin","Metric learning requires the identification of far-apart similar pairs and close dissimilar pairs during training, and this is difficult to achieve with unlabeled data because pairs are typically assumed to be similar if they are close. We present a novel metric learning method which circumvents this issue by identifying hard negative pairs as those which obtain dissimilar labels via label propagation (LP), when the edge linking the pair of data is removed in the affinity matrix. In so doing, the negative pairs can be identified despite their proximity, and we are able to utilize this information to significantly improve LP's ability to identify far-apart positive pairs and close negative pairs. This results in a considerable improvement in semi-supervised metric learning performance as evidenced by recall, precision and Normalized Mutual Information (NMI) performance metrics on Content-based Information Retrieval (CBIR) applications.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhuang_Deep_Semi-Supervised_Metric_Learning_With_Mixed_Label_Propagation_CVPR_2023_paper.pdf,,3,本文介绍了一种新的度量学习方法，通过识别在标签传播过程中获得不相似标签的困难负样本对来解决无标签数据中相似对和不相似对的识别问题。通过这种方法，即使负样本对非常接近，也能够识别出来，并且能够利用这些信息显著提高标签传播 算法在内容检索应用中识别远距离正样本和接近负样本的能力，从而显著提高半监督度量学习的性能。这一方法的有效性通过召回率、精确度和标准化互信息等性能指标在内容检索应用中得到了证明。
20,Jedi: Entropy-Based Localization and Removal of Adversarial Patches,CVPR,2023,"Bilel Tarchoun, Anouar Ben Khalifa, Mohamed Ali Mahjoub, Nael Abu-Ghazaleh, Ihsen Alouani","Real-world adversarial physical patches were recently shown to be successful in compromising state-of-the-art models in a variety of computer vision applications. The most promising defenses that are based on either input gradient or features analyses have been shown to be compromised by recent GAN-based adaptive attacks that generate realistic/naturalistic patches. In this paper, we propose Jedi, a new defense against adversarial patches that is resilient to realistic patch attacks, and also improves detection and recovery compared to the state of the art. Jedi leverages two new ideas: (1) it improves the identification of potential patch regions using entropy analysis: we show that the entropy of adversarial patches is high, even in naturalistic patches; and (2) it improves the localization of adversarial patches, using an autoencoder that is able to complete patch regions and filter out normal regions with high entropy that are not part of a patch. Jedi achieves high precision adversarial patch localization, which we show is critical to successfully repair the images. Since Jedi relies on an input entropy analysis, it is model-agnostic, and can be applied on pre-trained off-the-shelf models without changes to the training or inference of the protected models. Jedi detects on average 90% of adversarial patches across different benchmarks and recovers up to 94% of successful patch attacks (Compared to 75% and 65% for LGS and Jujutsu, respectively). Jedi is also able to continue detection even in the presence of adaptive realistic patches that are able to fool other defenses.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Tarchoun_Jedi_Entropy-Based_Localization_and_Removal_of_Adversarial_Patches_CVPR_2023_paper.pdf,,3,本文介绍了一种新的防御方法Jedi，用于对抗现实世界中的对抗性物理贴片攻击。该方法利用熵分析和自编码器技术，提高了对潜在贴片区域的识别和定位能力，并且在检测和修复方面比现有技术有所提高。Jedi可以在不改变受保护模型的训练或推 理的情况下，应用于预训练的现成模型。实验结果表明，Jedi可以在不同的基准测试中检测到平均90%的对抗性贴片，并且可以恢复高达94%的成功攻击（相比之下，LGS和Jujutsu分别为75%和65%）。Jedi还能够在存在能够欺骗其他防御措施的自适应现实贴片的情况下继 续检测。
21,Diverse Embedding Expansion Network and Low-Light Cross-Modality Benchmark for Visible-Infrared Person Re-Identification,CVPR,2023,"Yukang Zhang, Hanzi Wang","For the visible-infrared person re-identification (VIReID) task, one of the major challenges is the modality gaps between visible (VIS) and infrared (IR) images. However, the training samples are usually limited, while the modality gaps are too large, which leads that the existing methods cannot effectively mine diverse cross-modality clues. To handle this limitation, we propose a novel augmentation network in the embedding space, called diverse embedding expansion network (DEEN). The proposed DEEN can effectively generate diverse embeddings to learn the informative feature representations and reduce the modality discrepancy between the VIS and IR images. Moreover, the VIReID model may be seriously affected by drastic illumination changes, while all the existing VIReID datasets are captured under sufficient illumination without significant light changes. Thus, we provide a low-light cross-modality (LLCM) dataset, which contains 46,767 bounding boxes of 1,064 identities captured by 9 RGB/IR cameras. Extensive experiments on the SYSU-MM01, RegDB and LLCM datasets show the superiority of the proposed DEEN over several other state-of-the-art methods. The code and dataset are released at: https://github.com/ZYK100/LLCM",,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhang_Diverse_Embedding_Expansion_Network_and_Low-Light_Cross-Modality_Benchmark_for_Visible-Infrared_CVPR_2023_paper.pdf,https://github.com/ZYK100/LLCM,3,本文介绍了可见光-红外人物再识别（VIReID）任务中的一个主要挑战：可见光（VIS）和红外（IR）图像之间的模态差距。然而，训练样本通常很有限，而模态差距太大，这导致现有方法无法有效地挖掘多样的跨模态线索。为了解决这个限制，作者 提出了一种新颖的嵌入空间增强网络，称为多样嵌入扩展网络（DEEN）。所提出的DEEN可以有效地生成多样的嵌入，学习信息丰富的特征表示，并减少VIS和IR图像之间的模态差异。此外，VIReID模型可能会受到剧烈照明变化的严重影响，而所有现有的VIReID数据集都是在充足照明下捕获的，没有显著的光线变化。因此，作者提供了一个低光交叉模态（LL
22,Continuous Sign Language Recognition With Correlation Network,CVPR,2023,"Lianyu Hu, Liqing Gao, Zekang Liu, Wei Feng","Human body trajectories are a salient cue to identify actions in video. Such body trajectories are mainly conveyed by hands and face across consecutive frames in sign language. However, current methods in continuous sign language recognition(CSLR) usually process frames independently to capture frame-wise features, thus failing to capture cross-frame trajectories to effectively identify a sign. To handle this limitation, we propose correlation network (CorrNet) to explicitly leverage body trajectories across frames to identify signs. In specific, an identification module is first presented to emphasize informative regions in each frame that are beneficial in expressing a sign. A correlation module is then proposed to dynamically compute correlation maps between current frame and adjacent neighbors to capture cross-frame trajectories. As a result, the generated features are able to gain an overview of local temporal movements to identify a sign. Thanks to its special attention on body trajectories, CorrNet achieves new state-of-the-art accuracy on four large-scale datasets, PHOENIX14, PHOENIX14-T, CSL-Daily, and CSL. A comprehensive comparison between CorrNet and previous spatial-temporal reasoning methods verifies its effectiveness. Visualizations are given to demonstrate the effects of CorrNet on emphasizing human body trajectories across adjacent frames.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Hu_Continuous_Sign_Language_Recognition_With_Correlation_Network_CVPR_2023_paper.pdf,,3,本文提出了一种基于相关网络（CorrNet）的连续手语识别方法，以充分利用手语中手和面部的运动轨迹。传统的连续手语识别方法通常独立处理每一帧以捕捉帧级特征，无法有效地捕捉跨帧轨迹以识别手语。为了解决这个问题，本文提出了一个识别模块和一个相关模块，分别用于强调每一帧中有益于表达手语的信息区域和动态计算当前帧和相邻帧之间的相关性图以捕捉跨帧轨迹。由于CorrNet特别关注人体轨迹，因此在PHOENIX14、PHOENIX14-T、CSL-Daily和CSL四个大型数据集上取得了新的最高准确率。本文还通过可视化效果展示了CorrNet在强调相邻帧中的人体轨迹方面的效果。
